app_id, iid,top_3_weight,datasize,satisfied
6,61,10,10K,true
6,61,20,10K,true
6,61,30,10K,true
6,61,40,10K,true
6,61,50,10K,true
6,61,60,10K,true
6,61,70,10K,true
6,61,80,10K,true
6,61,90,10K,true
6,61,100,10K,true
6,61,10,100K,false
6,61,20,100K,false
6,61,30,100K,false
6,61,40,100K,false
6,61,50,100K,true
6,61,60,100K,true
6,61,70,100K,true
6,61,80,100K,true
6,61,90,100K,true
6,61,100,100k,true
6,61,10,1M,false
6,61,20,1M,false
6,61,30,1M,false
6,61,40,1M,false
6,61,50,1M,false
6,61,60,1M,false
6,61,70,1M,false
6,61,80,1M,true
6,61,90,1M,true
6,61,100,1M,true
6,61,10,10M,false
6,61,20,10M,false
6,61,30,10M,false
6,61,40,10M,false
6,61,50,10M,false
6,61,60,10M,false
6,61,70,10M,false
6,61,80,10M,true
6,61,90,10M,true
6,61,100,10M,true